ORG_ID,ACCT_PER_DATE,ACTVY_PER_DATE,AFE_NUM,CC_NUM,CC_TYPE_CODE,COST_CENTRE_NAME_QBYTE,BUSINESS_UNIT,DIVISION,AREA,FIELD,SUB_FIELD,VP_REPORTING,MAJOR_ACCT,MINOR_ACCT,MAJOR_MINOR,ACCOUNT_DESCRIPTION,GROSS_NET,LEVEL_1_HIERARCHY,LEVEL_2_HIERARCHY,LEVEL_3_HIERARCHY,LEVEL_4_HIERARCHY,LEVEL_5_HIERARCHY,FIELD_OPEX_CLASS_TYPE,LI_AMT,REPORTING_CURR_AMT,LI_VOL,PROD_CODE,LI_REM,GOVERN_AGR_ID,GOVERN_AGR_TYPE_CODE,VOUCHER_NUM,VOUCHER_TYPE_CODE,VOUCHER_REM,NAME_1,CLIENT_ID,INVC_NUM,INVC_DATE,CREATE_USER,CREATE_DATE,VOUCHER_STAT_CODE,GL_POST_USER,LAST_UPDATE_DATE
1,2022-10-31 00:00:00.000,2022-11-30 00:00:00.000,,84145,MRK,NGL RAIL CARS,MIDSTREAM,BRC FRAC,BRC,NGL MARKETING,NULL,NGL MARKETING,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,155601.36,113519.63,0.00,,,1,OM,26761,OBO,106669 Trinity Industries Lea 2815374493,TRINITY INDUSTRIES LEASING COMPANY,106669,2815374493,2022-10-10,OPNINV1,2022-10-18 00:00:00.000,P,TGRAHAM,2022-10-18 00:00:00.000
1,2022-10-31 00:00:00.000,2022-11-30 00:00:00.000,,84120,MRK,RAIL LOGISTICS,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,390402.77,284820.00,0.00,,,1,OM,27752,OBO,105624 CIT Bank - USD 1114157,CIT BANK,105624,1114157,2022-10-18,OPNINV1,2022-10-27 00:00:00.000,P,TGRAHAM,2022-10-27 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,84145,MRK,NGL RAIL CARS,MIDSTREAM,BRC FRAC,BRC,NGL MARKETING,NULL,NGL MARKETING,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,136.90,100.00,0.00,,,1,OM,39032,API,NOV 2022 RAILCAR SUBLEASE TIDAL,TIDAL ENERGY MARKETING INC,109408,761776,2022-11-23,CMAIRS,2022-11-24 00:00:00.000,P,RITAS,2022-11-24 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,84145,MRK,NGL RAIL CARS,MIDSTREAM,BRC FRAC,BRC,NGL MARKETING,NULL,NGL MARKETING,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-37000.00,-37000.00,0.00,,PIPESTONE RAIL CAR RENTAL ACCRUAL,1,OM,7565,ACCR,NOV 22 PIPE PSEEP ACCR NGL,NULL,NULL,NULL,NULL,NGORING,2022-12-07 00:00:00.000,P,SBEARSS,2022-12-08 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,85028,REF,PGR-PRINCE GEORGE REFINERY,DOWNSTREAM,PGR,PGR,PRINCE GEORGE REFINERY,NULL,PRINCE GEORGE REFINERY,9800,188,9800.188,DEMURRAGE,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.08 - TRANSPORTATION CHARGES,DEMURRAGE,MKTOTH,5280.00,5280.00,0.00,,,1,OM,32369,OBO,104065 CN 755699452,CN,104065,755699452,2022-11-20,OPNINV1,2022-11-29 00:00:00.000,P,BLUU,2022-11-29 00:00:00.000
1,2022-11-30 00:00:00.000,2022-11-30 00:00:00.000,,81147,FAC,ACHESON RAIL TERMINAL,MIDSTREAM,ACHESON LOGISTICS,ACHESON,ACHESON RAIL TERMINAL,NULL,ACHESON RAIL TERMINAL,9910,231,9910.231,REPAIRS AND MAINTENANCE - RAIL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.1 - FIELD OPERATING EXPENSES,3.1.14 - REPAIRS AND MAINTENANCE,REPAIRS AND MAINTENANCE,FLDOPX-CON,549.42,549.42,0.00,,,1,OM,32263,B2B,104774 Sky Eye Measurement Inc. 19187,SKY EYE MEASUREMENT,104774,19187,2022-11-14,OPNINV1,2022-11-28 00:00:00.000,P,TGRAHAM,2022-11-28 00:00:00.000
1,2022-10-31 00:00:00.000,2022-11-30 00:00:00.000,,84145,MRK,NGL RAIL CARS,MIDSTREAM,BRC FRAC,BRC,NGL MARKETING,NULL,NGL MARKETING,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-362310.88,-362310.88,0.00,,202210 MIDSTREAM PREPAID RECLASS,1,DB,7494,ACCR,202210 MIDSTREAM PREPAIDS,NULL,NULL,NULL,NULL,MGRACHER,2022-11-09 00:00:00.000,P,KBOLES,2022-11-09 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84120,MRK,RAIL LOGISTICS,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9910,231,9910.231,REPAIRS AND MAINTENANCE - RAIL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.1 - FIELD OPERATING EXPENSES,3.1.14 - REPAIRS AND MAINTENANCE,REPAIRS AND MAINTENANCE,FLDOPX-CON,-25000.00,-25000.00,0.00,,NOV 2022 - OTHER RAILCAR ACCR,1,OM,7566,ACCR,RV ACCR 7566,NULL,NULL,NULL,NULL,NTRATECH,2022-12-07 00:00:00.000,P,EDAVID,2022-12-12 00:00:00.000
1,2022-12-31 00:00:00.000,2022-11-30 00:00:00.000,,84151,MRK,RAILCAR SUBLEASE,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-22598.69,-16800.00,0.00,,RMTS-24B RAIL CAR LEASE REVENUE,1,OM,12883,ARI,11-2022 RAIL CAR LEASE REVENUE,ROCKY MOUNTAIN TRANSPORTATION SERVICES,107923,RMTS24B-107923-2211,2022-12-06,CSANREGR,2022-12-07 00:00:00.000,P,ARAJIC,2022-12-07 00:00:00.000
1,2022-10-31 00:00:00.000,2022-11-30 00:00:00.000,,85090,REF,100% TWR RAILCARS,DOWNSTREAM,PGR,PGR,PRINCE GEORGE REFINERY,NULL,PRINCE GEORGE REFINERY,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,11308.28,8250.00,0.00,,,1280,OM,28533,OBO,107104 GATX RAIL CANADA CORPORA 92404839,GATX RAIL CANADA CORPORATION,107104,92404839,2022-11-01,OPNINV1,2022-10-31 00:00:00.000,P,DKABASEL,2022-10-31 00:00:00.000
