ORG_ID,ACCT_PER_DATE,ACTVY_PER_DATE,AFE_NUM,CC_NUM,CC_TYPE_CODE,COST_CENTRE_NAME_QBYTE,BUSINESS_UNIT,DIVISION,AREA,FIELD,SUB_FIELD,VP_REPORTING,MAJOR_ACCT,MINOR_ACCT,MAJOR_MINOR,ACCOUNT_DESCRIPTION,GROSS_NET,LEVEL_1_HIERARCHY,LEVEL_2_HIERARCHY,LEVEL_3_HIERARCHY,LEVEL_4_HIERARCHY,LEVEL_5_HIERARCHY,FIELD_OPEX_CLASS_TYPE,LI_AMT,REPORTING_CURR_AMT,LI_VOL,PROD_CODE,LI_REM,GOVERN_AGR_ID,GOVERN_AGR_TYPE_CODE,VOUCHER_NUM,VOUCHER_TYPE_CODE,VOUCHER_REM,NAME_1,CLIENT_ID,INVC_NUM,INVC_DATE,CREATE_USER,CREATE_DATE,VOUCHER_STAT_CODE,GL_POST_USER,LAST_UPDATE_DATE,age
1,2023-09-30 00:00:00.000,2023-08-31 00:00:00.000,NULL,85090,REF,100% TWR RAILCARS,DOWNSTREAM,PGR,PGR,PRINCE GEORGE REFINERY,NULL,PRINCE GEORGE REFINERY,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,51179.13,37823.61,NULL,,NULL,1280,OM,65895,OBO,107104 GATX RAIL CANADA CORPORA 92441880,GATX RAIL CANADA CORPORATION,107104,92441880,2023-08-01,OPNINV1,2023-09-06 00:00:00.000,P,DKABASEL,2023-09-06 00:00:00.000,47
1,2023-11-30 00:00:00.000,2023-10-31 00:00:00.000,NULL,84145,MRK,NGL RAIL CARS,MIDSTREAM,BRC FRAC,BRC,NGL MARKETING,NULL,NGL MARKETING,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-1234.49,-900.00,NULL,,OCT-23 KIROS RAILCAR SUBLEASE INV,1,OM,15997,ARI,OCT 2023 KIROS NGL RC SUBLEASE,KIROS ENERGY MARKETING ULC,104586,KEMLRCS-2310,2023-11-06,CMAIRS,2023-11-07 00:00:00.000,P,RITAS,2023-11-07 00:00:00.000,-14
1,2023-11-30 00:00:00.000,2023-10-31 00:00:00.000,NULL,84145,MRK,NGL RAIL CARS,MIDSTREAM,BRC FRAC,BRC,NGL MARKETING,NULL,NGL MARKETING,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,44903.20,44903.20,NULL,,PIPESTONE RAIL CAR RENTAL ACCRUAL,1,OM,9744,ACCR,RV ACCR 9744,NULL,NULL,NULL,NULL,NGORING,2023-11-09 00:00:00.000,P,DKABASEL,2023-11-09 00:00:00.000,-14
1,2023-11-30 00:00:00.000,2023-10-31 00:00:00.000,NULL,84129,MRK,PIPESTONE GAS PLANT - NGL MARKETING,MIDSTREAM,PIPESTONE,PIPESTONE,PIPESTONE NGL,NULL,PIPESTONE NGL,9800,180,9800.180,RAIL CAR RENTAL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,-44903.20,-44903.20,NULL,,PIPESTONE RAIL CAR RENTAL ACCRUAL,1,OM,9744,ACCR,RV ACCR 9744,NULL,NULL,NULL,NULL,NGORING,2023-11-09 00:00:00.000,P,DKABASEL,2023-11-09 00:00:00.000,-14
1,2023-10-31 00:00:00.000,2023-09-30 00:00:00.000,NULL,84120,MRK,RAIL LOGISTICS,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,8000,180,8000.180,RAIL CAR RENTAL,N,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.02 - BROKERAGE AND FREIGHT,RAIIL CAR RENTAL,MKTOTH,57206.53,57206.53,NULL,,JIB NET ENTRY,NULL,NULL,1598,JIB,JIB CLEARING ENTRY,NULL,NULL,NULL,NULL,DKABASEL,2023-11-08 00:00:00.000,P,DKABASEL,2023-11-08 00:00:00.000,16
1,2023-10-31 00:00:00.000,2022-10-31 00:00:00.000,NULL,84120,MRK,RAIL LOGISTICS,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,9910,231,9910.231,REPAIRS AND MAINTENANCE - RAIL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.1 - FIELD OPERATING EXPENSES,3.1.14 - REPAIRS AND MAINTENANCE,REPAIRS AND MAINTENANCE,FLDOPX-CON,12552.44,12552.44,NULL,,OCT 2023 - RAILCAR OTHER PPA  ACCRUAL,1,OM,9584,ACCR,OCT 2023 - RAILCAR OTHER PPA  ACCRUAL,NULL,NULL,NULL,NULL,TWOITAS,2023-11-02 00:00:00.000,P,NTRATECH,2023-11-07 00:00:00.000,16
1,2023-10-31 00:00:00.000,2023-08-31 00:00:00.000,NULL,84145,MRK,NGL RAIL CARS,MIDSTREAM,BRC FRAC,BRC,NGL MARKETING,NULL,NGL MARKETING,9910,231,9910.231,REPAIRS AND MAINTENANCE - RAIL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.1 - FIELD OPERATING EXPENSES,3.1.14 - REPAIRS AND MAINTENANCE,REPAIRS AND MAINTENANCE,FLDOPX-CON,1900.91,1406.00,NULL,,NULL,1,OM,69956,OBO,105624 CIT Bank - USD 1152222,CIT BANK,105624,1152222,2023-10-13,OPNINV1,2023-10-17 00:00:00.000,P,TGRAHAM,2023-10-17 00:00:00.000,16
1,2023-09-30 00:00:00.000,2023-09-30 00:00:00.000,NULL,84145,MRK,NGL RAIL CARS,MIDSTREAM,BRC FRAC,BRC,NGL MARKETING,NULL,NGL MARKETING,9910,231,9910.231,REPAIRS AND MAINTENANCE - RAIL,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.1 - FIELD OPERATING EXPENSES,3.1.14 - REPAIRS AND MAINTENANCE,REPAIRS AND MAINTENANCE,FLDOPX-CON,7737.68,5718.48,NULL,,NULL,1,OM,68254,OBO,107104 GATX RAIL CANADA CORPORA 92448419,GATX RAIL CANADA CORPORATION,107104,92448419,2023-09-26,OPNINV1,2023-09-29 00:00:00.000,P,TGRAHAM,2023-09-29 00:00:00.000,47
1,2023-11-30 00:00:00.000,2023-10-31 00:00:00.000,NULL,81136,MRK,NGL - FSEEP,MIDSTREAM,FSEEP,EEPS,FSEEP,NULL,FSEEP,9910,415,9910.415,RAIL RACK LOADING FEE,G,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.3 - MARKETING OTHER OPERATING EXPENSES,3.3.04 - LOADING FEE,LOADING FEE EXP,MKTOTH,-20130.54,-20130.54,NULL,,FSEEP RAIL LOADING FEE,1,OM,9743,ACCR,RV ACCR 9743,NULL,NULL,NULL,NULL,NGORING,2023-11-09 00:00:00.000,P,DKABASEL,2023-11-09 00:00:00.000,-14
1,2023-10-31 00:00:00.000,2022-12-31 00:00:00.000,NULL,84120,MRK,RAIL LOGISTICS,DOWNSTREAM,DOWNSTREAM MARKETING,DS MARKETING,DOWNSTREAM LOGISTICS,NULL,DOWNSTREAM LOGISTICS,8810,231,8810.231,REPAIRS AND MAINTENANCE - RAIL,N,INCOME STATEMENT,3.0 - OPERATING EXPENSE,3.1 - FIELD OPERATING EXPENSES,3.1.14 - REPAIRS AND MAINTENANCE,REPAIRS AND MAINTENANCE,FLDOPX-CON,-21702.67,-21702.67,NULL,,JIB NET ENTRY,NULL,NULL,1588,JIB,JIB CLEARING ENTRY,NULL,NULL,NULL,NULL,JVIRGINE,2023-11-02 00:00:00.000,P,DKABASEL,2023-11-02 00:00:00.000,16
